customer_review_id,customer_id,location_id,review_datetime,review_text,social_media_source,social_media_handle,productId,rating
140,1140,5001,2025-04-22 22:01:30 UTC,"This hoodie is seriously comfy! I love that it's eco-friendly, you can tell the quality is really good. The black color is classic and goes with everything. The zip is smooth and the fit is perfect - not too baggy, not too tight. I've been wearing it practically every day since I got it. Definitely worth the purchase, especially if you're looking for a sustainable and stylish hoodie.
",Facebook,@FacebookUser_1140_373,46432,4
199,1199,5002,2025-03-26 05:22:49 UTC,"Just got my Google Men's Softshell Moss jacket and I'm really impressed! The color is even better in person – a really nice, muted green. It's super comfortable, the material is soft and flexible, and it fits true to size. Perfect for those chilly mornings and evenings. I've already worn it hiking and just running errands, and it's quickly become my go-to jacket. Definitely recommend!
",Naver Cafe,@NaverCafeUser_1199_413,38919,4
105,1105,5002,2025-02-05 00:58:45 UTC,"I absolutely love my Google Black Cloud Tee! The fabric is so soft and comfortable, perfect for everyday wear. The design is simple and clean, which I appreciate. It's subtle enough to wear to work but still shows off my love for Google. It also washes really well; the color hasn't faded at all after several washes. Definitely recommend this tee if you're looking for a comfortable and stylish way to represent Google!
",Naver Cafe,@NaverCafeUser_1105_337,30102,4
90,1090,5002,2025-06-14 03:45:04 UTC,"I absolutely love my Google Kirkland Campus tee! The fabric is super soft and comfortable, perfect for wearing around the house or out running errands. The design is subtle but cool, and I've already gotten a few compliments on it. It's definitely become one of my favorite t-shirts. Plus, it washes really well without shrinking or fading. Highly recommend if you're looking for a comfy and stylish way to represent the Kirkland campus!
",YouTube,@YouTubeUser_1090_686,25258,4
44,1044,5003,2024-11-12 15:57:29 UTC,"Okay, I absolutely love my Google Striped Tank! It's so comfortable and the material is surprisingly soft. I wasn't sure what to expect, but it's quickly become one of my go-to shirts for casual days. The stripes are classic and go with everything. Plus, it's a subtle way to show off my love for Google without being too flashy. Definitely recommend it if you're looking for a comfy and stylish everyday tank!
",Blog,@BlogUser_1044_397,20521,4
16,1016,5003,2024-12-14 02:05:29 UTC,"Okay, I absolutely love this Google Austin Campus Zip Hoodie! The material is so soft and comfortable, perfect for those slightly chilly Austin evenings. The fit is great, not too baggy and not too tight. I've already worn it a bunch and it's held up really well after washing. The subtle Google logo is a nice touch – not too flashy, but still shows my Austin pride. Definitely recommend grabbing one if you're a fan!
",Facebook,@FacebookUser_1016_743,36335,4
174,1174,5003,2025-04-09 00:46:25 UTC,"Okay, I absolutely love this Google Maps Pin Tee! It's such a fun and quirky design. The fabric is really soft and comfortable, not scratchy at all. I've gotten so many compliments on it already, people always ask where I got it. It's a great conversation starter and perfect for anyone who loves to travel or just appreciates a unique shirt. Definitely recommend grabbing one!
",Instagram,@InstagramUser_1174_407,40875,4
170,1170,5003,2024-12-08 10:50:19 UTC,"I absolutely love this vest! The Google Men's Tech Fleece Vest in Charcoal is exactly what I was looking for. It's lightweight and comfortable, perfect for layering on cool mornings or evenings. The fit is great, not too bulky, and the material feels really high quality. I've worn it to the gym, running errands, and even just lounging around the house. It's versatile and looks sharp. Definitely recommend!
",Instagram,@InstagramUser_1170_593,21184,4
145,1145,5003,2024-11-01 09:53:57 UTC,"This Google Split Seam Tee in Olive is seriously comfortable! The fabric is soft and feels really nice against my skin. I wasn't sure about the split seam at first, but it actually gives the shirt a cool, slightly edgy look without being too over the top. The olive color is perfect too, it's a great neutral that goes with everything. I've washed it a few times now and it still looks great, no shrinking or fading. Definitely recommend!
",Twitter,@TwitterUser_1145_991,33558,4
83,1083,5003,2025-04-11 03:42:25 UTC,"Okay, I absolutely love this zip hoodie! It's so comfortable and the material is really soft. The fit is perfect, not too baggy and not too tight. I get compliments on it all the time, especially from people who've visited or worked at Google. It's a subtle way to show my appreciation for the company and tech in general without being overly branded. Plus, it's just a great everyday hoodie for lounging around or running errands. Definitely worth the purchase!
",X,@XUser_1083_753,42868,4
