customer_review_id,customer_id,location_id,review_datetime,review_text,social_media_source,social_media_handle,product_id,rating
150,1150,5001,2025-05-04 16:43:48,"My little one looks absolutely adorable in this Android Pocket Toddler Tee! The white is so crisp and clean, and the little robot pocket is just the cutest detail. The material is super soft, which is a huge plus because my toddler has sensitive skin. It's held up really well after multiple washes too, no shrinking or fading. Definitely recommend this tee if you're looking for something comfortable, stylish, and durable for your little android-lover!",Blog,@BlogUser_1150_633,20873,4
182,1182,5001,2025-06-22 03:54:55,"Okay, I absolutely adore this onesie! The ""Google Beekeepers 2019 Onesie Pink"" is so comfy and soft. The pink is a really nice shade, not too bright, and the little bee design is just adorable. It's perfect for lounging around the house on a chilly day. I get compliments on it all the time, even when I'm just wearing it to take out the trash! Definitely recommend this for anyone who wants to be cozy and cute. Great quality material too, seems like it will last a long time.",Blog,@BlogUser_1182_285,49023,5
6,1006,5001,2025-02-06 10:25:49,"Okay, I absolutely love this Google PNW Campus Tee! The design is subtle but cool, and it's a great way to rep my techie side without being too flashy. The material is super soft and comfy – I've already worn it like three times this week. Plus, it's unisex sizing, which means it fits perfectly. Seriously, if you're looking for a comfortable and stylish tee, especially if you're a fan of Google or the Pacific Northwest, you can't go wrong with this one!",Blog,@BlogUser_1006_370,22530,5
78,1078,5001,2025-03-17 11:01:54,"I absolutely love this hoodie! The ""YouTube Standards Zip Hoodie Black"" is super comfortable, the material is really soft on the inside. The fit is perfect, not too baggy and not too tight. I've washed it a few times already and it still looks brand new, the color hasn't faded at all. Definitely worth the money, and I get compliments on it all the time. Would highly recommend it to any YouTube fans!",Blog,@BlogUser_1078_823,35904,3
147,1147,5001,2025-06-16 20:38:11,"This ""Android Garden 2019 Tee"" is fantastic! The design is so unique and eye-catching, I've already gotten a ton of compliments on it. The fabric is really soft and comfortable, perfect for everyday wear. I was worried about the print fading after washing, but it's held up great so far. Definitely a conversation starter and a fun way to show off my techy side. I'm really happy with my purchase",Facebook,@FacebookUser_1147_893,47489,3
27,1027,5001,2025-04-05 05:18:27,"I absolutely love my Google Tee Blue! The color is a really nice, vibrant blue that hasn't faded after a few washes. The material is super soft and comfortable, perfect for everyday wear. I ordered a size medium and it fits true to size. I've gotten a lot of compliments on it already, and it's a fun, subtle way to show my appreciation for Google products without being too flashy. Definitely recommend!",Facebook,@FacebookUser_1027_441,43696,5
140,1140,5001,2025-04-22 22:01:30,"This hoodie is seriously comfy! I love that it's eco-friendly, you can tell the quality is really good. The black color is classic and goes with everything. The zip is smooth and the fit is perfect - not too baggy, not too tight. I've been wearing it practically every day since I got it. Definitely worth the purchase, especially if you're looking for a sustainable and stylish hoodie.",Facebook,@FacebookUser_1140_373,46432,2
91,1091,5001,2025-03-12 14:42:47,"This sweatshirt is my new favorite! The Google Land & Sea French Terry is so soft and comfortable, I practically live in it now. The fabric is a really nice weight - not too heavy, not too thin - perfect for layering or wearing on its own. I love the simple, clean design too. It's definitely a step up from my other sweatshirts and I get compliments on it all the time! Worth every penny.",Facebook,@FacebookUser_1091_646,40604,4
41,1041,5001,2025-01-14 08:55:07,"This Google Tech Fleece is awesome! I've been wearing it non-stop since it arrived. The grey color is really versatile and goes with everything. It's super comfortable and keeps me warm without being too bulky. The fit is perfect, true to size, and the quality is definitely worth the price. Highly recommend this if you're looking for a comfortable and stylish everyday fleece.",Facebook,@FacebookUser_1041_961,39573,4
92,1092,5001,2025-01-15 11:31:53,"I absolutely love this Google Sherpa Vest! I got it in black and it's so cozy and warm. Perfect for layering on chilly days or just wearing around the house. The quality is fantastic - the sherpa is super soft and the overall construction feels really durable. Plus, it has these great deep pockets that are actually functional. Definitely a worthwhile purchase and a staple in my fall/winter wardrobe!",Instagram,@InstagramUser_1092_355,44938,4
